response_type,inference_path,has_multi,has_likelihood,has_loglik,has_score,uses_wald_ci,uses_wald_test,optimization_via,optim_alg,irls_avail,has_analytic_hess
survival,DepCensTransformRegr,Y,Y,Y,Y,Y,Y,ourself/Rcpp dependent-censoring transformation,L-BFGS,N,Y
survival,GehanWilcox,N,N,N,N,Y,Y,none/rank statistic,NA,NA,N
survival,KKClaytonCopulaIVWC,Y,Y,Y,Y,Y,Y,ourself/Rcpp Clayton copula Weibull AFT,L-BFGS,N,N
survival,KKClaytonCopulaOneLik,Y,Y,Y,Y,Y,Y,ourself/Rcpp Clayton copula Weibull AFT,L-BFGS,N,N
survival,KKLWACoxIVWC,Y,Y,Y,Y,Y,Y,ourself/Rcpp Cox partial likelihood,Newton-Raphson,N,Y
survival,KKLWACoxOneLik,Y,Y,Y,Y,Y,Y,ourself/Rcpp Cox partial likelihood,Newton-Raphson,N,Y
survival,KKRankRegrIVWC,Y,Y,Y,Y,Y,Y,none/rank-regression path,NA,NA,N
survival,KKStratCoxIVWC,Y,Y,Y,Y,Y,Y,ourself/Rcpp Cox partial likelihood,Newton-Raphson,N,Y
survival,KKStratCoxOneLik,Y,Y,Y,Y,Y,Y,ourself/Rcpp Cox partial likelihood,Newton-Raphson,N,Y
survival,KKWeibullFrailtyIVWC,N,Y,Y,Y,Y,Y,survival,NA,NA,N
survival,KKWeibullFrailtyOneLik,N,Y,Y,Y,Y,Y,survival,NA,NA,N
survival,KMDiff,N,N,N,N,Y,Y,none/KM statistic,NA,NA,N
survival,LogRank,N,N,N,N,Y,Y,none/rank statistic,NA,NA,N
survival,RestrictedMeanDiff,N,N,N,N,Y,Y,none/KM statistic,NA,NA,N
survival,StratCoxPHRegr,N,Y,Y,Y,Y,Y,ourself/Rcpp Cox partial likelihood,Newton-Raphson,N,Y
survival,WeibullRegr,Y,Y,Y,Y,Y,Y,ourself/Rcpp Weibull AFT,L-BFGS,N,Y
unknown,InferenceCustomAsymp,N,N,N,N,Y,Y,TODO,NA,NA,N
unknown,InferenceCustomBoot,N,N,N,N,N,N,TODO,NA,NA,N
unknown,InferenceCustomRand,N,N,N,N,N,N,TODO,NA,NA,N
